source,target,weight
1083504748974743557,1151340112955019265,1
1083504748974743557,1268056166,1
1083504748974743557,1331018240470917120,2
1084254390578483200,1218767468954411011,1
1084602626,23680536,1
1084602626,70740986,1
1084993643038019585,497591536,1
1084993643038019585,89282580,2
1085017111162957825,1331018240470917120,3
1085017111162957825,400539441,1
1085017111162957825,70740986,1
1085017111162957825,798205169330769920,1
1085672858334879744,497591536,1
1085672858334879744,89282580,1
1086177090133577728,1331018240470917120,1
1086177090133577728,268269767,1
1086444821265428480,1198827021104750592,1
1086444821265428480,967299284235440128,1
1086744861238272007,70740986,1
1086744861238272007,89282580,1
1086744861238272007,967299284235440128,1
1086796342435835905,1007736018467020801,1
1086796342435835905,1105838381622329344,5
1086796342435835905,1151340112955019265,3
1086796342435835905,1191425359650152448,1
1086796342435835905,1218767468954411011,7
1086796342435835905,1241600060988760067,1
1086796342435835905,1254901513954222081,1
1086796342435835905,1264918778,1
1086796342435835905,1287311390814932992,1
1086796342435835905,1295382467730444288,1
1086796342435835905,1322656201864368130,1
1086796342435835905,1331018240470917120,9
1086796342435835905,1351628763700862983,1
1086796342435835905,1362196291120484356,2
1086796342435835905,1512446430,1
1086796342435835905,15792387,6
1086796342435835905,25160076,1
1086796342435835905,26302350,1
1086796342435835905,31328425,1
1086796342435835905,3325351501,1
1086796342435835905,400539441,1
1086796342435835905,4018135996,1
1086796342435835905,70740986,30
1086796342435835905,73463687,4
1086796342435835905,757695091,1
1086796342435835905,82455213,1
1086796342435835905,89282580,8
1086796342435835905,933013749329514496,1
1086796342435835905,951228252747689991,1
1086796342435835905,980560538391498753,1
1087230353822179328,3178197333,1
1087230353822179328,70740986,2
1090344472041402369,1218767468954411011,2
1090488451940659201,25462558,1
1090488451940659201,874256563,1
1090925995924865024,15792387,1
1090925995924865024,70740986,1
1092499549736845312,1218767468954411011,1
1095877193018806273,1151340112955019265,1
1095877193018806273,1512446430,1
1095877193018806273,70740986,1
109657942,190089925,1
1097283439399763968,19608297,1
1097283439399763968,70740986,2
1097508300554465280,23680536,1
1097508300554465280,70740986,1
1097928862971904000,1068681410444173314,1
1098005117914234880,1151340112955019265,1
1098005117914234880,89282580,4
1098022576071368704,89282580,2
1098427405629353990,1105838381622329344,2
1098427405629353990,1218767468954411011,3
1098427405629353990,63652756,1
1098611437994422273,132329262,1
1098611437994422273,1364090214491316224,1
1098611437994422273,18015221,1
1098611437994422273,4868058556,1
1098611437994422273,70740986,2
1099764121585811457,400539441,1
1099764121585811457,70740986,1
1099798020462387200,1331018240470917120,1
1099798020462387200,70740986,2
1099856499118170113,70740986,1
1100578795,400539441,1
1100578795,70740986,2
1101642877531316224,1218767468954411011,1
1101642877531316224,23319488,1
1101642877531316224,967299284235440128,1
1102023222969724928,23944798,1
1102065565131264000,19608297,1
1102065565131264000,70740986,1
1102768411,89282580,2
1103624410303549442,1331018240470917120,1
1103624410303549442,70740986,1
1104789802652786689,139142210,1
1105335853520424960,1218767468954411011,1
1105411945,1151340112955019265,1
1106405655093620737,400539441,1
1106405655093620737,4868058556,1
1106405655093620737,70740986,1
1106709014585446401,2863151596,1
1107065026865741824,89282580,1
1107073627,1151340112955019265,1
1107073627,1512446430,1
1107073627,70740986,2
1107343074,400539441,1
1108422676517928962,82455213,1
1108568390959091712,1304051396942139397,1
1109153935154139136,1331018240470917120,1
1109623350295478272,1017628083111845888,1
1109623350295478272,1151340112955019265,1
1109623350295478272,1276082192293269504,1
1109623350295478272,1512446430,1
1109623350295478272,16573941,1
1109623350295478272,19409508,1
1109623350295478272,451131659,1
1109623350295478272,70740986,1
1109623350295478272,757695091,1
1109623350295478272,834477656989106183,1
1109623350295478272,920903952539021313,1
1109623350295478272,938424931230060544,1
1109623350295478272,963631905878036482,1
1110066192327364608,1160217465806151680,1
1110066192327364608,1218767468954411011,1
