source,target,weight
1009948020316745729,967299284235440128,2
1009970460543549440,2484580446,1
1010171676666089472,788794760764985344,1
1010216956983693312,1247811557003685889,1
1010216956983693312,2484580446,1
1010216956983693312,521524065,1
1010358204944080897,427036048,1
101047741,1198827021104750592,1
101047741,70740986,1
1010528273137315840,1038520012473098240,1
1010554396319670272,1218767468954411011,4
1010554396319670272,1302545815894929411,2
1010554396319670272,1331018240470917120,2
1010554396319670272,70740986,4
1010585168711684096,1077631261101965312,1
1010585168711684096,1116071575407796224,1
1010872071612706816,1218767468954411011,1
1010885541728882688,1218767468954411011,1
101089116,1218767468954411011,1
1010923806993539072,1385269499151196161,1
1010923806993539072,519845286,1
1010928368378941440,1293668184046927872,1
1010999929588809729,1068681410444173314,1
1010999929588809729,22520624,1
1010999929588809729,741016777002352640,1
1010999929588809729,999963870545489922,1
1011098434189824001,70740986,1
1011191396924100609,620259618,1
1011191396924100609,70740986,1
1011232464482627585,70740986,1
1011312969936973826,1068681410444173314,1
1011312969936973826,1081246495108665345,1
1011312969936973826,1151340112955019265,1
1011312969936973826,1218767468954411011,1
1011312969936973826,1273057416637284354,1
1011312969936973826,131962097,1
1011312969936973826,1320708238803873792,1
1011312969936973826,1331018240470917120,3
1011312969936973826,1347010793573916673,3
1011312969936973826,1370133262597775360,1
1011312969936973826,1383934050532921349,1
1011312969936973826,221651256,4
1011312969936973826,2372876268,1
1011312969936973826,259487172,1
1011312969936973826,2718005286,1
1011312969936973826,272675539,1
1011312969936973826,287998291,1
1011312969936973826,326514871,1
1011312969936973826,333179346,1
1011312969936973826,4201616975,1
1011312969936973826,460780586,1
1011312969936973826,470408498,1
1011312969936973826,4747973115,1
1011312969936973826,480747075,1
1011312969936973826,70740986,5
1011312969936973826,956245826,1
1011312969936973826,973596382991912962,1
1011406269369016320,1151340112955019265,1
1011406269369016320,158253154,1
1011454032056119296,70740986,1
1011469476720709634,1198827021104750592,1
1011469476720709634,70740986,1
1011526148,42301660,1
1011526148,70740986,1
1011718008019017728,1198827021104750592,1
1011718008019017728,70740986,2
1011737084,1218767468954411011,1
1011737084,1331018240470917120,1
1011737084,89282580,1
1011737084,967299284235440128,1
10118982,15808765,1
10118982,70740986,1
10118982,82455213,1
10118982,958435057,1
1012112382653444097,1218767468954411011,1
1012113293950046208,2484511346,1
1012294248215896064,1218767468954411011,1
1012414002,355717763,1
1012495905390452737,3117314104,1
1012521756647514112,1100350954803773441,1
1012877535028264961,70740986,1
1012879781594005504,256824557,1
